interest,one,two,three,four,five,mean
History,103,206,284,209,206,3.20734127
Psychology,112,226,251,243,173,3.138308458
Politics,256,257,241,149,106,2.595639247
Mathematics,395,194,203,116,99,2.334657398
Physics,457,241,153,99,57,2.064548163
Internet,10,34,191,305,466,4.175944334
PC,135,208,250,207,204,3.136454183
Economy Management,262,243,216,159,125,2.643781095
Biology,250,276,197,122,159,2.665338645
Chemistry,451,245,109,78,117,2.165
Reading,209,151,192,175,277,3.15936255
Geography,133,209,277,206,176,3.082917083
Foreign languages,42,101,235,287,340,3.778109453
Medicine,307,250,216,86,146,2.51641791
Law,360,281,188,109,71,2.256689792
Cars,295,203,192,154,162,2.686878728
Art exhibitions,267,249,234,137,117,2.589641434
Religion,403,210,199,106,89,2.273088381
"Countryside, outdoors",62,111,218,300,312,3.686939182
Dancing,377,194,180,106,150,2.461767627
Musical instruments,471,154,128,98,158,2.324083251
Writing,590,148,112,83,71,1.901394422
Passive sport,136,145,221,183,310,3.387939698
Active sport,197,124,192,175,318,3.291252485
Gardening,520,224,146,58,55,1.907278166
Celebrities,344,233,227,130,74,2.362103175
Shopping,103,197,252,230,226,3.276785714
Science and technology,115,180,274,225,210,3.234063745
Theatre,159,210,260,193,180,3.0249501
Fun with friends,0,23,80,216,687,4.557654076
Adrenaline sports,219,189,221,181,197,2.94836147
Pets,206,118,167,163,352,3.33499006
